-------------- Setting 1 --------------
----Servernumber Test 1----
Experiment 0 + [ mECGreedyVoteCost: 2.5 ,mGACost_1: 2 ,mGACost_0: 2 ,mECGreedyDegreeCost: 2.333 ,cplexcosts: 2 ]
Experiment 0 + [ mECGreedyVoteCost: 2.714 ,mGACost_1: 1.667 ,mGACost_0: 2 ,mECGreedyDegreeCost: 1.8 ]
Experiment 1 + [ mECGreedyVoteCost: 2.714 ,mGACost_1: 1.667 ,mGACost_0: 2 ,mECGreedyDegreeCost: 1.8 ]
Experiment 2 + [ mECGreedyVoteCost: 2.714 ,mGACost_1: 1.667 ,mGACost_0: 2 ,mECGreedyDegreeCost: 1.8 ]
Experiment 3 + [ mECGreedyVoteCost: 2.714 ,mGACost_1: 1.667 ,mGACost_0: 2 ,mECGreedyDegreeCost: 1.8 ]
Experiment 4 + [ mECGreedyVoteCost: 2.714 ,mGACost_1: 1.667 ,mGACost_0: 2 ,mECGreedyDegreeCost: 1.8 ]
Experiment 5 + [ mECGreedyVoteCost: 2.714 ,mGACost_1: 1.667 ,mGACost_0: 2 ,mECGreedyDegreeCost: 1.8 ]
Experiment 6 + [ mECGreedyVoteCost: 2.714 ,mGACost_1: 1.667 ,mGACost_0: 2 ,mECGreedyDegreeCost: 1.8 ]
Experiment 7 + [ mECGreedyVoteCost: 2.714 ,mGACost_1: 1.667 ,mGACost_0: 2 ,mECGreedyDegreeCost: 1.8 ]
Experiment 8 + [ mECGreedyVoteCost: 2.714 ,mGACost_1: 1.667 ,mGACost_0: 2 ,mECGreedyDegreeCost: 1.8 ]
Experiment 9 + [ mECGreedyVoteCost: 2.714 ,mGACost_1: 1.667 ,mGACost_0: 2 ,mECGreedyDegreeCost: 1.8 ]
ServersNumber:150  Density:2  Hops:4  [votecosts, GAcosts_1, GAcosts_0, degreecosts] : [2.714, 1.667, 21.8]


Experiment 0 + [ mECGreedyVoteCost: 1.367 ,mGACost_1: 1 ,mGACost_0: 1 ,mECGreedyDegreeCost: 1 ]
Experiment 1 + [ mECGreedyVoteCost: 1.367 ,mGACost_1: 1 ,mGACost_0: 1 ,mECGreedyDegreeCost: 1 ]
Experiment 2 + [ mECGreedyVoteCost: 1.367 ,mGACost_1: 1 ,mGACost_0: 1 ,mECGreedyDegreeCost: 1 ]
Experiment 3 + [ mECGreedyVoteCost: 1.367 ,mGACost_1: 1 ,mGACost_0: 1 ,mECGreedyDegreeCost: 1 ]
Experiment 4 + [ mECGreedyVoteCost: 1.367 ,mGACost_1: 1 ,mGACost_0: 1 ,mECGreedyDegreeCost: 1 ]
Experiment 5 + [ mECGreedyVoteCost: 1.367 ,mGACost_1: 1 ,mGACost_0: 1 ,mECGreedyDegreeCost: 1 ]
Experiment 6 + [ mECGreedyVoteCost: 1.367 ,mGACost_1: 1 ,mGACost_0: 1 ,mECGreedyDegreeCost: 1 ]
Experiment 7 + [ mECGreedyVoteCost: 1.367 ,mGACost_1: 1 ,mGACost_0: 1 ,mECGreedyDegreeCost: 1 ]
Experiment 8 + [ mECGreedyVoteCost: 1.367 ,mGACost_1: 1 ,mGACost_0: 1 ,mECGreedyDegreeCost: 1 ]
Experiment 9 + [ mECGreedyVoteCost: 1.367 ,mGACost_1: 1 ,mGACost_0: 1 ,mECGreedyDegreeCost: 1 ]
ServersNumber:150  Density:2  Hops:5  [votecosts, GAcosts_1, GAcosts_0, degreecosts] : [1.367, 1, 11]


